prix,type_de_bien,details,zone
330000,Maison à vendre,5 pièces · 3 chambres · 93 m² · 1 520 m² de terrain,Lozanne (69380)
678700,Appartement à vendre - neuf,"5 pièces · 97,9 m² · Étage 3/3 · dès le 31/12/2028",Collonges-au-Mont-d'Or (69660)
261800,Appartement à vendre - neuf,"4 pièces · 72,1 m² · 3 étages · dès le 31/12/2027",Ouest  Belleville-en-Beaujolais (69220)
288000,Appartement à vendre - neuf,3 pièces · 67 m² · Étage 1/2 · dès le 31/12/2027,Brindas (69126)
627300,Appartement à vendre - neuf,"4 pièces · 82,9 m² · Étage 3/3 · dès le 31/12/2026",Centre et Sud Est  Saint-Didier-au-Mont-d'Or (69370)
430000,Appartement à vendre,3 pièces · 2 chambres · 82 m² · Étage 4/5,Croix Rousse Centre  Lyon 4ème arrondissement (69004)
1295000,Maison à vendre,9 pièces · 7 chambres · 320 m² · 1 212 m² de terrain,Est  Gex (01170)
430000,Appartement à vendre,"3 pièces · 2 chambres · 86,3 m² · RDC/1",Poleymieux-au-Mont-d'Or (69250)
340000,Maison à vendre,"6 pièces · 4 chambres · 115,7 m² · 402 m² de terrain",Limas (69400)
250000,Appartement à vendre - neuf,2 pièces · 44 m² · 3ème étage,Vénissieux (69200)
230000,Appartement à vendre - neuf,3 pièces · 68 m²,Le Mas  Vaulx-en-Velin (69120)
215506,Appartement à vendre - neuf,2 pièces · 1 chambre · 44 m²,Gleizé (69400)
363000,Appartement à vendre - neuf,4 pièces · 88 m²,Perica-La Roue  Rillieux-la-Pape (69140)
254700,Appartement à vendre - neuf,3 pièces · 2 chambres · 61 m² · dès le 31/12/2026,Le Mas  Vaulx-en-Velin (69120)
235000,Appartement à vendre - neuf,2 pièces · 42 m²,Moulin à Vent-Ernest Renan  Vénissieux (69200)
307109,Appartement à vendre - neuf,"4 pièces · 84,6 m² · Étage 1/4 · dès le 31/03/2028",Le Grand Vivier-Le Garet-Pontbichet-Troussier  Villefranche-sur-Saône (69400)
192000,Appartement à vendre - neuf,1 pièce · 35 m²,Lyon 9ème arrondissement (69009)
226900,Appartement à vendre,2 pièces · 1 chambre · 54 m² · 4ème étage,Gratte Ciel  Villeurbanne (69100)
199000,Appartement à vendre - neuf,1 pièce · 31 m² · RDC · dès le 31/12/2026,Craponne (69290)
295500,Appartement à vendre - neuf,"4 pièces · 80,7 m² · 2ème étage · dès le 30/09/2026",Serpaize (38200)
139000,Appartement à vendre - neuf,1 pièce · 34 m² · RDC · dès le 31/03/2028,Vénissieux (69200)
169000,Appartement à vendre - neuf,2 pièces · 39 m² · RDC · dès le 31/03/2028,Vénissieux (69200)
366256,Appartement à vendre - neuf,4 pièces · 80 m² · 2ème étage · dès le 30/09/2028,Croix Luizet  Villeurbanne (69100)
449000,Appartement à vendre,"4 pièces · 2 chambres · 75,1 m² · Étage 3/6",Brotteaux  Lyon 6ème arrondissement (69006)
275000,Appartement à vendre - neuf,4 pièces · 78 m² · 1er étage,centre Ville-La Chartonnière-La Barre  Villefranche-sur-Saône (69400)
120000,Appartement à vendre,"1 pièce · 30,6 m² · Étage 1/3",Bron Centre-Le Rafour  Bron (69500)
493000,Appartement à vendre - neuf,"5 pièces · 114,1 m² · 5ème étage · dès le 30/06/2027",Le Grand Vivier-Le Garet-Pontbichet-Troussier  Villefranche-sur-Saône (69400)
470000,Appartement à vendre - neuf,"4 pièces · 81,2 m² · Étage 2/2",Est  Dardilly (69570)
